age,marital_status,religion,parity,education_status,Occupation,ethnicity,by_distance,by_unemployment,by_illiteracy,uneducated_spouse,by_pregnancy_education,by_income,low_family_earning,healthcare_cost,strict_believes,husband_authority,fear_of_surgery,proving_womanhood,curses,traditional_birth_mode,herbal_prescriptions,bad_attitude,healthcare_delay,late_anc_attendance,poor_healthcare,obstetric_care_accessibility,health_workers_attitude,traditional_solutions,social_support,health_inst_adherence
19,Married,Christian,0,Senior high school and above,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree
20,Single,Christian,2,Primary,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree
23,Single,Christian,3,No education,Farmer,Akan,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly agree
27,Separated,Christian,3,Primary,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
32,Married,Christian,5,No education,Trader,Akan,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree
18,Married,Christian,1,Junior high school,Unemployed,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree
34,Married,Christian,3,Junior high school,Zoomlion,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
19,Single,Christian,0,Junior high school,Apprentice,Akan,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree
41,Married,Christian,5,No education,Trader,Akan,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
34,Married,Christian,3,No education,Farmer,Akan,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree
25,Married,Christian,1,Junior high school,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
30,Married,Christian,2,Junior high school,Apprentice,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree
23,Married,Christian,1,Junior high school,Seamstress,Akan,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree
26,Married,Christian,1,Senior high school and above,Unemployed,Akan,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
20,Married,Christian,1,Senior high school and above,Student,Akan,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree
15,Married,Christian,1,No education,Seamstress,Akan,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
30,Married,Christian,2,Primary,Farmer,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree
25,Married,Christian,3,No education,Hairdresser,Akan,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
29,Married,Christian,3,Senior high school and above,Trader,Akan,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
30,Married,Christian,2,No education,Farmer,Akan,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree
20,Married,Christian,2,No education,Farmer,Akan,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
30,Married,Christian,3,Primary,Trader,Akan,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
23,Married,Christian,2,Primary,Seamstress,Akan,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree
27,Married,Christian,3,Primary,Farmer,Akan,Neutral,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree
20,Married,Christian,1,Primary,Tailor,Akan,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
26,Married,Islam,3,Primary,Unemployed,Mole Dagbane,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
23,Married,Christian,3,Primary,Farmer,Akan,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
23,Married,Christian,2,Senior high school and above,Tailor,Akan,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
23,Separated,Christian,2,Primary,Hairdresser,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
32,Married,Christian,2,Junior high school,Trader,Akan,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Neutral,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree
27,Married,Islam,1,Senior high school and above,Trader,Hausa,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
31,Married,Christian,2,Tertiary,Secretary,Akan,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree
28,Married,Christian,4,No education,Trader,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
33,Married,Christian,3,Primary,Farmer,Akan,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
35,Married,Christian,5,Primary,Farmer,Akan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
